pairID,gold_label
2677109430.jpg#1r1n,neutral
2677109430.jpg#1r1e,contradiction
2677109430.jpg#1r1c,contradiction
6160193920.jpg#4r1n,neutral
6160193920.jpg#4r1e,neutral
6160193920.jpg#4r1c,neutral
4791890474.jpg#3r1e,entailment
4791890474.jpg#3r1n,entailment
4791890474.jpg#3r1c,entailment
6526219567.jpg#4r1n,neutral
6526219567.jpg#4r1e,entailment
6526219567.jpg#4r1c,contradiction
2832076014.jpg#2r1n,neutral
2832076014.jpg#2r1e,entailment
2832076014.jpg#2r1c,contradiction
1034985636.jpg#3r1c,contradiction
1034985636.jpg#3r1e,entailment
1034985636.jpg#3r1n,neutral
3856149623.jpg#1r1e,neutral
3856149623.jpg#1r1c,contradiction
3856149623.jpg#1r1n,contradiction
3827316480.jpg#0r1c,contradiction
3827316480.jpg#0r1e,entailment
3827316480.jpg#0r1n,neutral
2946464027.jpg#0r1n,neutral
2946464027.jpg#0r1c,entailment
2946464027.jpg#0r1e,entailment
3572548523.jpg#4r1e,entailment
3572548523.jpg#4r1n,neutral
3572548523.jpg#4r1c,contradiction
4460943467.jpg#0r1c,entailment
4460943467.jpg#0r1n,entailment
4460943467.jpg#0r1e,contradiction
2096485764.jpg#0r1e,contradiction
2096485764.jpg#0r1n,neutral
2096485764.jpg#0r1c,contradiction
4679111230.jpg#2r1n,contradiction
4679111230.jpg#2r1e,entailment
4679111230.jpg#2r1c,contradiction
2892843393.jpg#1r1e,entailment
2892843393.jpg#1r1n,entailment
2892843393.jpg#1r1c,contradiction
4923271886.jpg#2r1c,contradiction
4923271886.jpg#2r1e,contradiction
4923271886.jpg#2r1n,contradiction
2972268289.jpg#4r1n,contradiction
2972268289.jpg#4r1c,neutral
4770171876.jpg#0r1e,entailment
4770171876.jpg#0r1n,neutral
4770171876.jpg#0r1c,contradiction
351765604.jpg#0r1n,neutral
351765604.jpg#0r1e,entailment
351765604.jpg#0r1c,contradiction
847782643.jpg#0r1n,neutral
847782643.jpg#0r1c,contradiction
847782643.jpg#0r1e,entailment
3020218156.jpg#2r1e,entailment
3020218156.jpg#2r1c,contradiction
3020218156.jpg#2r1n,entailment
3036382555.jpg#0r1e,entailment
3036382555.jpg#0r1c,contradiction
3036382555.jpg#0r1n,neutral
407008823.jpg#3r1n,entailment
407008823.jpg#3r1e,entailment
407008823.jpg#3r1c,contradiction
3364026240.jpg#3r1e,entailment
3364026240.jpg#3r1n,entailment
3364026240.jpg#3r1c,contradiction
3437522515.jpg#3r1c,contradiction
3437522515.jpg#3r1n,neutral
3437522515.jpg#3r1e,neutral
2936881937.jpg#4r1c,contradiction
2936881937.jpg#4r1e,entailment
2936881937.jpg#4r1n,entailment
2936881937.jpg#2r1c,entailment
2936881937.jpg#2r1e,entailment
2936881937.jpg#2r1n,neutral
2936881937.jpg#0r1n,neutral
2936881937.jpg#0r1e,entailment
2936881937.jpg#0r1c,entailment
4499295511.jpg#0r1n,entailment
4499295511.jpg#0r1c,entailment
4499295511.jpg#0r1e,entailment
2876232980.jpg#0r1e,entailment
2876232980.jpg#0r1c,neutral
2876232980.jpg#0r1n,neutral
2508019949.jpg#0r1c,contradiction
2508019949.jpg#0r1n,contradiction
2508019949.jpg#0r1e,entailment
3338217927.jpg#2r1n,neutral
3338217927.jpg#2r1c,contradiction
3338217927.jpg#2r1e,entailment
264460711.jpg#2r1n,neutral
264460711.jpg#2r1e,entailment
264460711.jpg#2r1c,contradiction
6082587848.jpg#1r1c,contradiction
6082587848.jpg#1r1e,entailment
6082587848.jpg#1r1n,contradiction
6082587848.jpg#3r1n,neutral
6082587848.jpg#3r1e,contradiction
6082587848.jpg#3r1c,contradiction
6979303317.jpg#0r1n,neutral
6979303317.jpg#0r1e,entailment
6979303317.jpg#0r1c,contradiction
4114589329.jpg#0r1e,entailment
4114589329.jpg#0r1n,neutral
4114589329.jpg#2r1e,contradiction
4114589329.jpg#2r1c,contradiction
4114589329.jpg#2r1n,entailment
2147876139.jpg#4r1n,entailment
2147876139.jpg#4r1e,entailment
2147876139.jpg#4r1c,entailment
2622986361.jpg#2r1n,neutral
2622986361.jpg#2r1e,contradiction
2622986361.jpg#2r1c,contradiction
4963234016.jpg#4r1n,neutral
4963234016.jpg#4r1e,entailment
4963234016.jpg#4r1c,contradiction
3661659196.jpg#3r1c,entailment
3661659196.jpg#3r1e,entailment
3661659196.jpg#3r1n,neutral
4926115712.jpg#1r1n,neutral
4926115712.jpg#1r1c,contradiction
4512171349.jpg#2r1n,neutral
4512171349.jpg#2r1e,entailment
4512171349.jpg#2r1c,contradiction
4512171349.jpg#1r1n,neutral
4512171349.jpg#1r1e,entailment
4512171349.jpg#1r1c,entailment
4801146545.jpg#2r1c,entailment
4801146545.jpg#2r1n,neutral
4801146545.jpg#2r1e,entailment
7591663030.jpg#4r1n,neutral
7591663030.jpg#4r1e,entailment
7591663030.jpg#4r1c,neutral
5389902618.jpg#2r1e,entailment
5389902618.jpg#2r1c,entailment
5389902618.jpg#2r1n,neutral
7249180494.jpg#0r1e,entailment
7249180494.jpg#0r1c,contradiction
7249180494.jpg#0r1n,contradiction
7249180494.jpg#1r1n,contradiction
7249180494.jpg#1r1e,entailment
7249180494.jpg#1r1c,contradiction
4234824441.jpg#2r1n,neutral
4234824441.jpg#2r1c,neutral
4234824441.jpg#2r1e,entailment
1680409989.jpg#0r1n,neutral
1680409989.jpg#0r1e,entailment
1680409989.jpg#0r1c,contradiction
1680409989.jpg#3r1e,entailment
1680409989.jpg#3r1n,neutral
1680409989.jpg#3r1c,contradiction
4581834644.jpg#1r1c,entailment
4581834644.jpg#1r1n,contradiction
4581834644.jpg#1r1e,entailment
4684641618.jpg#0r1n,neutral
4684641618.jpg#0r1c,contradiction
4684641618.jpg#0r1e,entailment
525338588.jpg#0r1n,neutral
525338588.jpg#0r1e,contradiction
525338588.jpg#0r1c,contradiction
2487069642.jpg#1r1e,entailment
2487069642.jpg#1r1n,neutral
2487069642.jpg#1r1c,contradiction
1384292980.jpg#1r1e,contradiction
1384292980.jpg#1r1c,contradiction
1384292980.jpg#1r1n,neutral
216172386.jpg#0r1c,contradiction
216172386.jpg#0r1e,entailment
216172386.jpg#0r1n,contradiction
2245918465.jpg#1r1e,entailment
2245918465.jpg#1r1c,neutral
2245918465.jpg#1r1n,contradiction
2289096282.jpg#1r1e,entailment
2289096282.jpg#1r1c,contradiction
2289096282.jpg#1r1n,contradiction
3167503189.jpg#2r1n,neutral
3167503189.jpg#2r1c,entailment
3167503189.jpg#2r1e,neutral
7523563426.jpg#0r1c,neutral
7523563426.jpg#0r1e,neutral
7523563426.jpg#0r1n,contradiction
3626642428.jpg#3r1n,contradiction
3626642428.jpg#3r1e,entailment
3626642428.jpg#3r1c,contradiction
4859630545.jpg#1r1c,neutral
4859630545.jpg#1r1n,neutral
4859630545.jpg#1r1e,neutral
288351324.jpg#4r1e,entailment
288351324.jpg#4r1n,neutral
288351324.jpg#4r1c,contradiction
2398915100.jpg#3r1e,contradiction
2398915100.jpg#3r1n,contradiction
2398915100.jpg#3r1c,contradiction
